"","x"
"1384","IF ELEGANCE DETAILING GRANDEUR SPELLBINDING CLIMAX DEFINES BahubaliLACK OF STORY DEAD SCREENPLAY amp SILLY ANTICS DEFIES IT12"
"1385","ReminderBahubali ticket still available for Sudarshan35MM 6PM show todayrandi babuuuu randi"
"1386","An official in ARRS multiplex Salem keeps on saying this5 theatre um full huge crowds bahubali maari"
"1387","Bahubali Back 2 back 3 showsEpic movie"
"1388","Bahubali Awesome awesome MovieBut next story2016"
"1389","publicitymarketing 200 cores for Productiongraphics bahubali"
"1390","People are crazy about this movie Bahubali Not only in India but all around the world"
"1391","People wants to know Why attappa killed Bahubali"
"1392","Every week oka song video release chestaraaaBahubali Next song kosam waitingdheevara song kavaliiiii"
"1393","Vilasu better consult a doctor 4 indigestion 4 physicslearn fm raonekrish3 dhoom3 nt fm bahubali"
"1394","Bahubali 2 Vishwaroopam 2 Gabbarsingh 2 waiting"
"1395","We had a fantastic story amp powerful characters SS Rajamouli Bahubali"
"1396","Every one must watch this movie Bahubali"
"1397","bahubali me sameme Sab fail bhaijan bhi"
"1398","This is Bahubali at night show"
"1399","after BajarangiBhaijaango and see Bahubali"
"1400","bahubali demostrates that Bollywood is not the last word in indian filmmaking and real talent does get acclaim"
